timestamp_ms,frame,subframe,rnti,direction,nb_rb,rb_util,mcs,tbs_bytes,sdu_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score,qos_alpha,cqi_profile,harq_pid
10060,1006,0,8cff,DL,2,8.00,1,7,0,7,1,1,525.60,0.68,5.0000,1,4
10067,1006,7,8cff,DL,2,8.00,0,4,2,7,0,1,489.89,0.73,5.0000,1,3
10068,1006,8,8cff,DL,2,8.00,1,7,0,7,1,1,484.99,0.74,5.0000,1,4
10073,1007,3,8cff,DL,2,8.00,7,28,24,7,0,1,461.22,0.78,5.0000,1,1
10094,1009,4,8cff,DL,2,8.00,0,4,2,7,0,1,373.46,0.96,5.0000,1,6
10109,1010,9,8cff,DL,2,8.00,3,13,10,7,0,1,321.20,1.12,5.0000,1,5
10124,1012,4,8cff,DL,2,8.00,0,4,2,7,0,1,276.25,1.30,5.0000,1,4
10125,1012,5,8cff,DL,2,8.00,5,18,17,7,0,1,273.49,1.32,5.0000,1,5
10147,1014,7,8cff,DL,2,8.00,0,4,2,7,0,1,219.24,1.64,5.0000,1,3
10148,1014,8,8cff,DL,8,32.00,9,157,151,7,0,1,217.04,1.66,5.0000,1,4
10167,1016,7,8cff,DL,2,8.00,0,4,2,7,0,1,179.32,2.01,5.0000,1,7
10183,1018,3,8cff,DL,2,8.00,1,7,4,8,0,1,152.68,3.41,5.0000,1,7
10189,1018,9,8cff,DL,2,8.00,11,41,37,8,0,1,143.74,3.62,5.0000,1,5
10205,1020,5,8cff,DL,2,8.00,11,41,37,8,0,1,122.39,4.25,5.0000,1,5
10218,1021,8,8cff,DL,2,8.00,1,7,4,8,0,1,107.40,4.84,5.0000,1,2
4,0,4,8cff,DL,2,8.00,0,4,2,8,0,1,86.97,5.20,5.0000,1,4
1115,111,5,b7fb,DL,2,8.00,0,4,2,15,0,1,161.56,13.22,3.0000,0,3
6437,643,7,8cff,DL,2,8.00,0,4,2,8,0,1,10.00,5.20,5.0000,1,5
9494,949,4,4da5,DL,2,8.00,0,4,2,6,0,1,10.00,0.06,0.5000,2,6
895,89,5,8a90,DL,2,8.00,0,4,2,14,0,1,240.17,12.82,5.0000,0,7
4058,405,8,6da7,DL,4,16.00,0,11,2,0,0,1,801.63,0.12,3.0000,2,2
4070,407,0,6da7,DL,14,56.00,0,47,44,0,0,1,710.55,0.14,3.0000,2,6
4071,407,1,6da7,DL,2,8.00,0,4,0,0,0,1,703.45,0.14,3.0000,2,7
4072,407,2,6da7,DL,2,8.00,0,4,0,0,0,1,696.41,0.14,3.0000,2,0
4073,407,3,6da7,DL,2,8.00,0,4,0,0,0,1,689.45,0.14,3.0000,2,1
4074,407,4,6da7,DL,2,8.00,0,4,0,0,0,1,682.55,0.14,3.0000,2,2
4075,407,5,6da7,DL,2,8.00,0,4,0,0,0,1,675.73,0.15,3.0000,2,3
4076,407,6,6da7,DL,2,8.00,0,4,0,0,0,1,668.97,0.15,3.0000,2,4
4077,407,7,6da7,DL,2,8.00,0,4,0,0,0,1,662.28,0.15,3.0000,2,5
4078,407,8,6da7,DL,2,8.00,0,4,0,0,0,1,655.66,0.15,3.0000,2,6
4079,407,9,6da7,DL,2,8.00,0,4,0,0,0,1,649.10,0.15,3.0000,2,7
4080,408,0,6da7,DL,2,8.00,0,4,0,0,0,1,642.61,0.15,3.0000,2,0
4081,408,1,6da7,DL,2,8.00,0,4,0,0,0,1,636.19,0.15,3.0000,2,1
4082,408,2,6da7,DL,2,8.00,0,4,0,0,0,1,629.82,0.16,3.0000,2,2
4083,408,3,6da7,DL,2,8.00,0,4,0,0,0,1,623.53,0.16,3.0000,2,3
4084,408,4,6da7,DL,2,8.00,0,4,0,0,0,1,617.29,0.16,3.0000,2,4
4085,408,5,6da7,DL,2,8.00,1,7,4,15,0,1,611.12,3.50,3.0000,0,5
4108,410,8,6da7,DL,2,8.00,0,4,2,15,0,1,484.99,4.40,3.0000,0,4
4114,411,4,6da7,DL,2,8.00,7,28,24,15,0,1,456.61,4.68,3.0000,0,2
4135,413,5,6da7,DL,2,8.00,0,4,2,15,0,1,369.73,5.78,3.0000,0,7
4148,414,8,6da7,DL,2,8.00,3,13,10,15,0,1,324.45,6.58,3.0000,0,4
4166,416,6,6da7,DL,2,8.00,0,4,2,15,0,1,270.75,7.89,3.0000,0,6
4167,416,7,6da7,DL,2,8.00,5,18,17,15,0,1,268.05,7.97,3.0000,0,7
4188,418,8,6da7,DL,2,8.00,0,4,2,15,0,1,217.04,9.84,3.0000,0,4
4189,418,9,6da7,DL,4,16.00,16,153,151,15,0,1,214.87,9.94,3.0000,0,5
4208,420,8,6da7,DL,2,8.00,0,4,2,15,0,1,177.52,12.03,3.0000,0,0
4224,422,4,6da7,DL,2,8.00,1,7,4,15,0,1,164.57,12.98,3.0000,0,0
4232,423,2,6da7,DL,2,8.00,11,41,37,15,0,1,165.60,12.90,3.0000,0,0
4259,425,9,6da7,DL,2,8.00,1,7,4,15,0,1,158.02,13.52,3.0000,0,3
4285,428,5,6da7,DL,2,8.00,0,4,2,15,0,1,146.81,14.55,3.0000,0,5
8834,883,4,8cff,DL,2,8.00,0,4,2,7,0,1,10.00,3.60,5.0000,1,2
181,18,1,6da7,DL,2,8.00,0,4,2,15,0,1,135.82,15.73,3.0000,0,5
4738,473,8,a338,DL,4,16.00,0,11,2,0,0,1,770.04,0.00,0.1000,2,2
4753,475,3,a338,DL,14,56.00,0,47,44,0,0,1,662.28,0.00,0.1000,2,1
4754,475,4,a338,DL,2,8.00,0,4,0,0,0,1,655.66,0.01,0.1000,2,2
4755,475,5,a338,DL,2,8.00,0,4,0,0,0,1,649.10,0.01,0.1000,2,3
4756,475,6,a338,DL,2,8.00,0,4,0,0,0,1,642.61,0.01,0.1000,2,4
4757,475,7,a338,DL,2,8.00,0,4,0,0,0,1,636.19,0.01,0.1000,2,5
4758,475,8,a338,DL,2,8.00,0,4,0,0,0,1,629.82,0.01,0.1000,2,6
4759,475,9,a338,DL,2,8.00,0,4,0,0,0,1,623.53,0.01,0.1000,2,7
4760,476,0,a338,DL,2,8.00,0,4,0,0,0,1,617.29,0.01,0.1000,2,0
4761,476,1,a338,DL,2,8.00,0,4,0,0,0,1,611.12,0.01,0.1000,2,1
4762,476,2,a338,DL,2,8.00,0,4,0,0,0,1,605.01,0.01,0.1000,2,2
4763,476,3,a338,DL,2,8.00,0,4,0,0,0,1,598.96,0.01,0.1000,2,3
4764,476,4,a338,DL,2,8.00,0,4,0,0,0,1,592.97,0.01,0.1000,2,4
4765,476,5,a338,DL,2,8.00,0,4,0,0,0,1,587.04,0.01,0.1000,2,5
4766,476,6,a338,DL,2,8.00,1,7,4,15,0,1,581.17,0.12,0.1000,0,6
4789,478,9,a338,DL,2,8.00,0,4,2,15,0,1,461.22,0.15,0.1000,0,5
4794,479,4,a338,DL,2,8.00,7,28,24,15,0,1,438.62,0.16,0.1000,0,2
4816,481,6,a338,DL,2,8.00,0,4,2,15,0,1,351.61,0.20,0.1000,0,0
4833,483,3,a338,DL,2,8.00,3,13,10,15,0,1,296.39,0.24,0.1000,0,1
4846,484,6,a338,DL,2,8.00,0,4,2,15,0,1,260.09,0.27,0.1000,0,6
4847,484,7,a338,DL,2,8.00,5,18,17,15,0,1,257.48,0.28,0.1000,0,7
4869,486,9,a338,DL,2,8.00,0,4,2,15,0,1,206.41,0.34,0.1000,0,5
