timestamp_ms,frame,subframe,rnti,direction,nb_rb,mcs,tbs_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score
1871,187,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2198,219,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2315,231,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2639,263,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2763,276,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3088,308,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3209,320,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3526,352,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3648,364,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3964,396,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4081,408,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4401,440,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4517,451,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4830,483,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
4950,495,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
5272,527,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5393,539,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5717,571,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5837,583,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6150,615,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
6271,627,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6590,659,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
6705,670,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7000,700,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
7115,711,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7429,742,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7543,754,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7866,786,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7986,798,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8297,829,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8421,842,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8726,872,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8847,884,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9159,915,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9275,927,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9581,958,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9699,969,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
10021,1002,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
10150,1015,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
245,24,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
367,36,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
681,68,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
801,80,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1111,111,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1242,124,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1565,156,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1682,168,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1798,179,8,7e22,DL,2,0,4,15,0,1,712.00,1.50
1978,197,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2083,208,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2392,239,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2517,251,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2830,283,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
2954,295,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3294,329,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3417,341,7,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3749,374,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3872,387,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
